Time: 2025-01-17 11:43:12, RAM: 32.1%, CPU: 2.9%
Time: 2025-01-17 11:43:17, RAM: 32.1%, CPU: 2.5%
Time: 2025-01-17 11:43:22, RAM: 32.1%, CPU: 2.7%
Time: 2025-01-17 11:43:27, RAM: 32.1%, CPU: 2.8%
Time: 2025-01-17 11:43:47, RAM: 32.2%, CPU: 2.5%
Time: 2025-01-17 11:43:52, RAM: 32.2%, CPU: 2.7%
Time: 2025-01-17 11:43:57, RAM: 32.2%, CPU: 2.5%
Time: 2025-01-17 11:44:02, RAM: 32.0%, CPU: 1.9%
Time: 2025-01-17 11:44:07, RAM: 32.1%, CPU: 1.5%
Time: 2025-01-17 11:44:12, RAM: 32.5%, CPU: 3.4%
Time: 2025-01-17 11:44:17, RAM: 33.7%, CPU: 6.1%
Time: 2025-01-17 11:44:22, RAM: 34.8%, CPU: 6.7%
Time: 2025-01-17 11:44:27, RAM: 41.6%, CPU: 7.3%
Time: 2025-01-17 11:44:32, RAM: 42.4%, CPU: 12.6%
Time: 2025-01-17 11:44:37, RAM: 42.4%, CPU: 10.1%
Time: 2025-01-17 11:44:42, RAM: 42.4%, CPU: 12.5%
Time: 2025-01-17 11:44:47, RAM: 42.4%, CPU: 10.9%
Time: 2025-01-17 11:44:52, RAM: 42.4%, CPU: 12.0%
Time: 2025-01-17 11:44:57, RAM: 42.4%, CPU: 11.9%
Time: 2025-01-17 11:45:02, RAM: 42.5%, CPU: 10.5%
Time: 2025-01-17 11:45:07, RAM: 42.5%, CPU: 12.1%
Time: 2025-01-17 11:45:12, RAM: 42.5%, CPU: 11.5%
Time: 2025-01-17 11:45:17, RAM: 42.5%, CPU: 11.4%
Time: 2025-01-17 11:45:22, RAM: 42.5%, CPU: 11.7%
Time: 2025-01-17 11:45:27, RAM: 42.4%, CPU: 11.8%
Time: 2025-01-17 11:45:32, RAM: 42.4%, CPU: 11.2%
Time: 2025-01-17 11:45:37, RAM: 42.5%, CPU: 11.9%
Time: 2025-01-17 11:45:42, RAM: 42.5%, CPU: 10.8%
Time: 2025-01-17 11:45:47, RAM: 42.5%, CPU: 11.1%
Time: 2025-01-17 11:45:52, RAM: 42.5%, CPU: 12.2%
